0,Índice Geral ,
1000000,Alimentação e Bebidas ,
1100000,Alimentação no Domicílio ,
1101000,"Cereais, Leguminosas e oleaginosas ",
1101002,Arroz, 
1101051,Feijão - mulatinho,
1101053,Feijão - macassar (Fradinho),
1101073,Feijão - carioca (rajado) ,
1102000,"Farinha, féculas e massas",
1102001,farinha de arroz, 
1102006,macarrão,
1102008,fubá de milho ,
1102010,flocos de milho,
1102023,farinha de mandioca,
1103000,"Tubérculos, Raízes e Legumes",
1103003,Batata-inglesa,  
1103004,Inhame,
1103005,mandioca (aipim),
1103028,Tomate,
1103043,Cebola,
1104000,Açúcares e derivados,
1104004,Açúcar cristal,
1104023,chocolate em barra e bombom ,
1104032,Sorvete ,
1104052,Chocolate e achocolatado em pó,
1105000,Hortaliças e Verduras,
1105001,Alface,
1105004,Coentro,
1106000,Frutas,
1106001,banana - da - terra ,
1106003,abacaxi,
1106008,banana - prata,
1106017,maçã,
1106018,mamão,
1106019,manga,
1106021,melancia,
1106028,uva,
1106039,laranja - pera,
1107000,Carnes,
1107009,fígado,
1107081,cupim,
1107084,contrafilé,
1107087,chã de dentro,
1107088,alcatra,
1107089,patinho,
1107093,músculo,
1107094,pá,
1107095,acém,
1107099,costela,
1108000,Pescados,
1108004,corvina,
1108005,cavalinha,
1108012,sardinha,
1108013,camarão,
1108031,merluza,
1108038,pescada,
1108049,castanha,
1108080,tilápia,
1109000,Carnes e peixes industrializados ,
1109007,salsicha,
1109008,linguiça ,
1109010,mortadela,
1109056,carne seca e de sol ,
1109088,hambúrguer,
1110000,Aves e ovos,
1110009,frango inteiro,
1110010,frango em pedaços,
1110044,ovo de galinha,
1111000,Leite e derivados,
1111004,leite longa vida,
1111008,leite condensado,
1111009,leite em pó,
1111011,queijo,
1111019,iogurte e bebidas lácteas,
1111031,manteiga,
1111051,leite com sabor,
1112000,Panificados,
1112003,biscoito,
1112015,pão francês,
1112019,bolo,
1113000,Óleos e gorduras,
1113013,óleo de soja,
1113040,margarina,
1114000,Bebidas e infusões,
1114001,suco de frutas,
1114022,café moído,
1114023,café solúvel,
1114083,refrigerante e água mineral,
1114084,cerveja,
1114085,outras bebidas alcoólicas,
1115000,Enlatados e conservas,
1115039,sardinha em conserva,
1115050,salsicha em conserva,
1115051,carne em conserva,
1115058,milho-verde em conserva,
1116000,Sal e condimentos,
1116005,atomatado,
1116010,alho,
1116033,maionese,
1116041,vinagre,
1116048,caldo concentrado,
1116071,tempero misto,
1200000,Alimentação fora do domicílio,
1201000,Alimentação fora do domicílio,
1201001,refeição,
1201003,lanche,
1201005,café da manhã,
1201007,refrigerante e água mineral,
1201048,cerveja,
1201051,outras bebidas alcoólicas,
1201061,doces,
2000000,Habitação,
2100000,Encargos e manutenção,
2101000,Aluguel e taxas,
2101001,aluguel residencial,
2101002,condomínio,
2101004,taxa de água e esgoto,
2103000,Reparos,
2103014,tinta,
2103032,revestimento de piso e parede,
2103039,cimento,
2103040,tijolo,
2103041,material hidráulico,
2103042,mão de obra,
2103048,areia,
2104000,Artigos de limpeza,
2104005,água sanitária,
2104008,detergente,
2104009,sabão em pó,
2104015,sabão em barra,
2104016,esponja de limpeza,
2200000,Combustíveis e energia,
2201000,Combustíveis (domésticos),
2201004,gás de botijão,
2202000,Energia elétrica residencial,
2202003,Energia elétrica residencial,
3000000,Artigos de residência,
3100000,Móveis e utensílios,
3101000,Mobiliário,
3101002,Móvel para sala,
3101003,Móvel para quarto,
3101015,Móvel para copa e cozinha,
3101016,Móvel infantil,
3101017,Colchão,
3102000,Utensílios e enfeites,
3102005,tapete,
3102006,cortina,
3102007,utensílios de metal,
3102009,utensílios de vidro e louça,
3102010,utensílios de plástico,
3102040,utensílios diversos,
3103000,"Cama, mesa e banho",
3103001,roupa de cama,
3103003,roupa de banho,
3200000,Aparelhos eletroeletrônicos,
3201000,Eletrodomésticos e equipamentos,
3201001,refrigerador,
3201006,máquina de lavar roupa,
